"NDB_No","Shrt_Desc","Water_(g)","Energ_Kcal","Protein_(g)","Lipid_Tot_(g)","Ash_(g)","Carbohydrt_(g)","Fiber_TD_(g)","Sugar_Tot_(g)","Calcium_(mg)","Iron_(mg)","Magnesium_(mg)","Phosphorus_(mg)","Potassium_(mg)","Sodium_(mg)","Zinc_(mg)","Copper_(mg)","Manganese_(mg)","Selenium_(µg)","Vit_C_(mg)","Thiamin_(mg)","Riboflavin_(mg)","Niacin_(mg)","Panto_Acid_mg)","Vit_B6_(mg)","Folate_Tot_(µg)","Folic_Acid_(µg)","Food_Folate_(µg)","Folate_DFE_(µg)","Choline_Tot_ (mg)","Vit_B12_(µg)","Vit_A_IU","Vit_A_RAE","Retinol_(µg)","Alpha_Carot_(µg)","Beta_Carot_(µg)","Beta_Crypt_(µg)","Lycopene_(µg)","Lut+Zea_ (µg)","Vit_E_(mg)","Vit_D_(µg)","Vit_D_(IU)","Vit_K_(µg)","FA_Sat_(g)","FA_Mono_(g)","FA_Poly_(g)","Cholestrl_(mg)","GmWt_1","GmWt_Desc1","GmWt_2","GmWt_Desc2","Refuse_Pct","CnCaption","CnType"
"13047","BEEF,GRASS-FED,GROUND,RAW","67.13","192.0","19.42","12.73","1.71","0.0","0.0","0.0","12.0","1.99","19.0","175.0","289.0","68.0","4.55","0.063","0.01","14.2","0.0","0.049","0.154","4.818","0.576","0.355","6.0","0.0","6.0","6.0","67.4","1.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.35","0.0","0.0","1.1","5.335","4.8","0.532","62.0","85.0","1 serving","0.0","0.0","0.0","牛肉","肉类"
"14003","ALCOHOLIC BEV,BEER,REG,ALL","91.96","43.0","0.46","0.0","0.16","3.55","0.0","0.0","4.0","0.02","6.0","14.0","27.0","4.0","0.01","0.005","0.008","0.6","0.0","0.005","0.025","0.513","0.041","0.046","6.0","0.0","6.0","6.0","10.1","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","356.0","1 can","29.7","1 fl oz","0.0","啤酒","饮料"
"15008","CARP,RAW","76.31","127.0","17.83","5.6","1.46","0.0","0.0","0.0","41.0","1.24","29.0","415.0","333.0","49.0","1.48","0.057","0.042","12.6","1.6","0.115","0.055","1.64","0.75","0.19","15.0","0.0","15.0","15.0","65.0","1.53","30.0","9.0","9.0","0.0","0.0","0.0","0.0","0.0","0.63","24.7","988.0","0.1","1.083","2.328","1.431","66.0","218.0","1 fillet","85.0","3 oz","0.0","鲤鱼","水产"
"15020","CROAKER,ATLANTIC,RAW","78.03","104.0","17.78","3.17","1.11","0.0","0.0","0.0","15.0","0.37","40.0","210.0","345.0","56.0","0.42","0.042","0.025","36.5","0.0","0.075","0.095","4.2","0.75","0.3","15.0","0.0","15.0","15.0","67.0","2.5","41.0","12.0","12.0","0.0","0.0","0.0","0.0","0.0","1.29","0.7","27.0","0.1","1.088","1.149","0.464","61.0","79.0","1 fillet","85.0","3 oz","0.0","黄花鱼","水产"
"15076","SALMON,ATLANTIC,WILD,RAW","68.5","142.0","19.84","6.34","2.54","0.0","0.0","0.0","12.0","0.8","29.0","200.0","490.0","44.0","0.64","0.25","0.016","36.5","0.0","0.226","0.38","7.86","1.664","0.818","25.0","0.0","25.0","25.0","0.0","3.18","40.0","12.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.981","2.103","2.539","55.0","198.0",".5 fillet","85.0","3 oz","0.0","三文鱼","水产"
"15139","CRAB,BLUE,RAW","79.02","87.0","18.06","1.08","1.81","0.04","0.0","0.0","89.0","0.74","34.0","229.0","329.0","293.0","3.54","0.669","0.15","37.4","3.0","0.08","0.04","2.7","0.35","0.15","44.0","0.0","44.0","44.0","0.0","9.0","5.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.222","0.192","0.387","78.0","85.0","3 oz","21.0","1 crab","0.0","蟹","水产"
"15149","SHRIMP,MIXED SPECIES,RAW","83.01","71.0","13.61","1.01","1.86","0.91","0.0","0.0","54.0","0.21","22.0","244.0","113.0","566.0","0.97","0.182","0.029","29.6","0.0","0.02","0.015","1.778","0.31","0.161","19.0","0.0","19.0","19.0","80.9","1.11","180.0","54.0","54.0","0.0","0.0","0.0","0.0","0.0","1.32","0.1","2.0","0.3","0.115","0.08","0.13","126.0","6.0","1 medium","5.0","1 small","0.0","虾","水产"
"15164","MUSSEL,BLUE,RAW","80.58","86.0","11.9","2.24","1.59","3.69","0.0","0.0","26.0","3.95","34.0","197.0","320.0","286.0","1.6","0.094","3.4","44.8","8.0","0.16","0.21","1.6","0.5","0.05","42.0","0.0","42.0","42.0","65.0","12.0","160.0","48.0","48.0","0.0","0.0","0.0","0.0","0.0","0.55","0.0","0.0","0.1","0.425","0.507","0.606","28.0","150.0","1 cup","28.35","1 oz","0.0","扇贝","水产"
"15171","OYSTER,PACIFIC,RAW","82.06","81.0","9.45","2.3","1.23","4.95","0.0","0.0","8.0","5.11","22.0","162.0","168.0","106.0","16.62","1.576","0.643","77.0","8.0","0.067","0.233","2.01","0.5","0.05","10.0","0.0","10.0","10.0","0.0","16.0","270.0","81.0","81.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.51","0.358","0.894","50.0","50.0","1 medium","85.0","3 oz","0.0","生蚝","水产"
"15175","SQUID,MIXED SPECIES,RAW","78.55","92.0","15.58","1.38","1.41","3.08","0.0","0.0","32.0","0.68","33.0","221.0","246.0","44.0","1.53","1.891","0.035","44.8","4.7","0.02","0.412","2.175","0.5","0.056","5.0","0.0","5.0","5.0","65.0","1.3","33.0","10.0","10.0","0.0","0.0","0.0","0.0","0.0","1.2","0.0","0.0","0.0","0.358","0.107","0.524","233.0","28.35","1 oz, boneless","85.0","3 oz","0.0","鱿鱼","水产"
"15234","CATFISH,CHANNEL,FARMED,RAW","79.06","119.0","15.23","5.94","1.05","0.0","0.0","0.0","8.0","0.23","19.0","204.0","302.0","98.0","0.48","0.032","0.015","8.2","0.0","0.02","0.083","2.105","0.67","0.154","10.0","0.0","10.0","10.0","65.0","2.88","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.81","0.2","9.0","2.1","1.31","2.573","1.119","55.0","159.0","1 fillet","85.0","3 oz","0.0","鲶鱼","水产"
"15261","FISH,TILAPIA,RAW","78.08","96.0","20.08","1.7","0.93","0.0","0.0","0.0","10.0","0.56","27.0","170.0","302.0","52.0","0.33","0.075","0.037","41.8","0.0","0.041","0.063","3.903","0.487","0.162","24.0","0.0","24.0","24.0","42.5","1.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","3.1","124.0","1.4","0.585","0.498","0.363","50.0","116.0","1 fillet","112.0","1 raw pr g","0.0","鲫鱼","水产"
